Sl. No.,Constituent,Spec,Rate,Inclusion,Specification,
10,Stairs,2,200,"RCC staircase with vitrified flooring
railings to be of wooden & glass","RCC stair stair with 150mm thick waist slab
Vitrified tiles of Kajaria or similar make
Tread of 300m & riser of 150mm
skirting of vitrified tiles
Rounding to be done at the facing of stairs
Shuttering material made of used plywood in good condition
Reinforcement Steel of Primary Grade of make JSW or equivalent
Ready Mix Concrete of mostly M25 Grade from a branded plant",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Stairs,1,100,,stair with metal railing+vitrified flooring,
,Stairs,3,300,,stairs with metal railing+vitrified tiles,
,Stairs,4,400,,stair with wood railing+marble railing,
,Stairs,5,NA,,,
11,Bathroom,3,200000,"Bathroom flooring of Travertine marble
Bathroom wall tiles of green marble
Bathroom counter of green marble
WC, Washbasin, tap, showermixer of Kohler or similar make
False ceiling of calcium silicate
PVC plumbing pipes 
water proofing for the floor to be done by application of chemical
Vanity cabine under wash basin","Travertino marble laid over cement mortar bed of 1:6
Wall tiles to be of green marble for 7' height
Counter to be of green marble with size of 450*250mm
WC, Washbasin, tap, showermixer of Kohler or similar make
Calcium silicate false ceiling to be provided below roof
Accessories of Godrej or similar make
Waterproof ply vanity cabin to be provided under the wash basinn of green ply or similar make",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Bathroom,1,100000,,local WC vitrified tiles,
,Bathroom,2,150000,,"Parryware WC, vitrified tiles",
,Bathroom,4,250000,,"kohler automatic WC, Marble flooring & dado",
,Bathroom,5,500000,,TOTO WC+marble,
12,Kitchen,5,1000000,"Botticino marble for the flooring
White satuario for the kitchen & braksfast counter
White satuario for the dado
Kitchen cabinates of Waterproof ply
Calcium silicate false ceiling 
PVC plumbing pipes 
Built in Hob, refridgerator, Oven
Dishwasher, Washing machine in utility
Kitchen sink, hot and cold water tap","Botticino marble for the flooring to be laid on cement mortar bed of 1:8
White satuario marble for the kitchen & braksfast counter 
White satuario for the dado to be laid on cement mortar bed of 1:8
Kitchen cabinates of 8mm Waterproof ply of green or similar make
Handles to of hettich or similar make
Calcium silicate false ceiling below ceiling
PVC plumbing pipes & stainless steel kitchen sink of Franke or similar make
Built in Hob, refridgerator, Oven of Bosch or similar make
Dishwasher, Washing machine in utility of Bosch similar make",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Kitchen,1,300000,,vitrified+MDF,
,Kitchen,2,500000,,granite+ply+laminate,
,Kitchen,3,700000,,"waterproof ply, marble flooring",
,Kitchen,4,900000,,"ply+marble+HOB, refirdgerator",
13,Cabinetry & Fixed furniture,5,2500,"Cabinates to be made in MDF and with teak veneer
Living room - Shoe rack, display unit
Kitchen-Bottom unit, top unit, loft
Dining- crockery unit
Master Bedroom- King size bed, wall length wardrobe
Children Bedroom - Queen size bed, wardrobe, study unit
Guest Bedroom - Queen size bed, wardrobe, study unit
Family - TV Unit, Book shelf
Kitchen sink, hot and cold water tap","Botticino marble for the flooring to be laid on cement mortar bed of 1:8
White satuario marble for the kitchen & braksfast counter 
White satuario for the dado to be laid on cement mortar bed of 1:8
Kitchen cabinates of 8mm Waterproof ply of green or similar make
Handles to of hettich or similar make
Calcium silicate false ceiling below ceiling
PVC plumbing pipes & stainless steel kitchen sink of Franke or similar make
Built in Hob, refridgerator, Oven of Bosch or similar make
Dishwasher, Washing machine in utility of Bosch similar make",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Cabinetry & Fixed furniture,1,800,,MDF+laminate,
,Cabinetry & Fixed furniture,2,1000,,MDF+veneer,
,Cabinetry & Fixed furniture,3,1500,,Ply+laminate,
,Cabinetry & Fixed furniture,4,2000,,ply+veneer,
14,Services,3,600,"Plumbing pipes
Drainage water system
Electrical wirings
fire fighting 
Lift
CCTV","GI Plumbing pipes of supreme or similar make
Electrical PVC piped for wires of Finolex or similar make
6 passanger lift of  OTIS or similar make
CCTV covering major areas of CP or similar make",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Services,1,200,,basic fire fighting+no lift,
,Services,2,400,,fire alarms+ 6passengers lift,
,Services,4,700,,fire alarms+ 6passengers lift+CCTV+gas bank,
,Services,5,1000,,fire hyd+12 passangers lift+ HVAC,
15,Lighting & Switches,5,2000,"Electrical switches
Smart light bulbs
Occupancy sensors
DG unit","Electrical switches of Anchor or equivalent make
Smart light units controlled by smart devices of Govee or similar make
Occupancy sensors of schneider or similar make",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Lighting & Switches,1, 500 ,,LED lights,
,Lighting & Switches,2, 700 ,, warm white lights,
,Lighting & Switches,3, 900 ,,fluroscent lights,
,Lighting & Switches,4," 1,500 ",,smart lights with occuoancy sensor,
16,Air comfort,5,150000,Centralised HVAC,Providing & Installing HVAC of 3star 2 Ton capacity,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Air comfort,1,40000,,1 Ton,
,Air comfort,2,50000,,1.5 T,
,Air comfort,3,55000,,"1.5T with energy control, duel inverter",
,Air comfort,4,60000,,1.5T with wifi intverter,
20,Automation & entertainment,2,60000,5.1 speaker home theatre system,5.1 speaker home theatre system of  Sony or equivalent make,
,Automation & entertainment,1,40000,,2.1 speaker system,
,Automation & entertainment,3,80000,,2.1 speaker system+ smart home,
,Automation & entertainment,4,100000,,5.1 speaker system+ smart home,
,Automation & entertainment,5,150000,,5.1 speaker system+ smart home,
